workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,error
3,pilot,,Kareem,,2,basketball,6.271,,,lesson,jazz,10,critical,
3,pilot,,Brett,,2,shirt,3.951,,,lost item,item,11,filler,
3,pilot,,Tyree,,2,McDonald's,2.814,,,food,fast food,12,critical,
3,pilot,,Jack,,2,dentist,2.134,,,appointment,appointment,13,filler,
3,pilot,,Jamal,,2,a restaurant,5.864,,,fancy restaurant,poor,14,critical,
3,pilot,,Tyrone,,2,Black Panther,5.383,,,movies,movie,15,filler,
3,pilot,,Logan,,2,office,4.566,,,job,work,16,filler,
3,pilot,,Deshawn,,2,watermelon,3.951,,,fruit,watermelon,17,critical,
3,pilot,,Marquis,,2,Yooooo,3.782,,,friend,names,18,filler,
3,pilot,,Ryan,,2,noise,2.881,,,sleep,neighborhood,19,filler,
7,pilot,,,Elizabeth,,"[0, 'Elizabeth']",,1,bot_check,,,,,
7,pilot,,Tremayne,,1,,,,,B&D,weapon,0,filler,
7,pilot,,Dustin,,1,,,,,sleep,neighborhood,1,filler,
7,pilot,,Jermaine,,1,,,,,lost item,item,2,filler,
7,pilot,,Paul,,1,,,,,high school team,sports,3,critical,
7,pilot,,Lamont,,1,,,,,fruit,watermelon,4,critical,
7,pilot,,Brad,,1,,,,,driving,driving,5,filler,
7,pilot,,Marquis,,1,,,,,fancy restaurant,poor,6,critical,
7,pilot,,Ryan,,1,,,,,sister,names,7,filler,
7,pilot,,Tyrone,,1,,,,,appointment,appointment,8,filler,
7,pilot,,Ethan,,1,,,,,gray car,poor,9,critical,
7,pilot,,Rasheed,,1,,,,,movies,movie,10,filler,
7,pilot,,Jack,,1,,,,,performing,jazz,11,critical,
7,pilot,,Deandre,,1,,,,,genre,jazz,12,critical,
7,pilot,,Hunter,,1,,,,,job,work,13,filler,
7,pilot,,Hakeem,,1,,,,,alcohol,food,14,filler,
7,pilot,,Deshawn,,1,,,,,food,fast food,15,critical,
7,pilot,,Jamal,,1,,,,,practice,sports,16,critical,
7,pilot,,Peter,,1,,,,,restaurant,fast food,17,critical,
7,pilot,,Cody,,1,,,,,lazy day,lazy,18,critical,
7,pilot,,Ian,,1,,,,,friend,names,19,filler,
11,pilot,,,Sarah,,"[0, 'sarah']",,1,bot_check,,,,,
11,pilot,,Connor,,2,school,3.22,,,job,work,0,filler,
11,pilot,,Kareem,,2,drink,2.539,,,lost item,item,1,filler,
11,pilot,,Brett,,2,chess,1.559,,,game with friends,sports,2,critical,
11,pilot,,Jamal,,2,music,3.727,,,radio,genre,3,critical,
11,pilot,,Logan,,2,soda,1.814,,,food,fast food,4,critical,
11,pilot,,Marquis,,2,a chicken,2.551,,,driving,driving,5,filler,
11,pilot,,Hakeem,,2,piano,1.92,,,lesson,jazz,6,critical,
11,pilot,,Tyree,,2,noise,1.615,,,sleep,neighborhood,7,filler,
11,pilot,,Dylan,,2,gun,2.535,,,B&D,weapon,8,filler,
11,pilot,,Ian,,2,hey,1.679,,,friend,names,9,filler,
11,pilot,,Paul,,2,lawyer's,5.327,,,appointment,appointment,10,filler,
11,pilot,,Ethan,,2,relax,2.398,,,lazy day,lazy,11,critical,
11,pilot,,Deion,,2,cello,3.183,,,performing,jazz,12,critical,
11,pilot,,Ryan,,2,soda,2.648,,,alcohol,food,13,filler,
11,pilot,,Hunter,,2,honda,2.344,,,blue car,poor,14,critical,
11,pilot,,Cody,,2,fruit,2.75,,,fruit,watermelon,15,critical,
11,pilot,,Deshawn,,2,a movie,1.959,,,movies,movie,16,filler,
11,pilot,,Jermaine,,2,my bad,4.631,,,sister,names,17,filler,
11,pilot,,Tyrone,,2,basketball,5.358,,,park,sports,18,critical,
11,pilot,,Lamont,,2,something,3.424,,,fancy restaurant,poor,19,critical,
6,pilot,,,Linda,,"[0, 'Linda']",,1,bot_check,,,,,
6,pilot,,Trevon,,1,,,,,food,fast food,0,critical,
6,pilot,,Deandre,,1,,,,,fancy restaurant,poor,1,critical,
6,pilot,,Tremayne,,1,,,,,friend,names,2,filler,
6,pilot,,Dustin,,1,,,,,gray car,poor,3,critical,
6,pilot,,Jack,,1,,,,,sleep,neighborhood,4,filler,
6,pilot,,Ryan,,1,,,,,sister,names,5,filler,
6,pilot,,Ethan,,1,,,,,practice,sports,6,critical,
6,pilot,,Lamont,,1,,,,,driving,driving,7,filler,
6,pilot,,Deshawn,,1,,,,,alcohol,food,8,filler,
6,pilot,,Tyrone,,1,,,,,performing,jazz,9,critical,
6,pilot,,Jermaine,,1,,,,,lazy day,lazy,10,critical,
6,pilot,,Marquis,,1,,,,,restaurant,fast food,11,critical,
6,pilot,,Logan,,1,,,,,high school team,sports,12,critical,
6,pilot,,Tyree,,1,,,,,fruit,watermelon,13,critical,
6,pilot,,Deion,,1,,,,,genre,jazz,14,critical,
6,pilot,,Cody,,1,,,,,appointment,appointment,15,filler,
6,pilot,,Hunter,,1,,,,,job,work,16,filler,
6,pilot,,Brad,,1,,,,,lost item,item,17,filler,
6,pilot,,Brett,,1,,,,,movies,movie,18,filler,
6,pilot,,Roger,,1,,,,,B&D,weapon,19,filler,
5,pilot,,,Patricia,,"[0, 'Patricia']",,1,bot_check,,,,,
5,pilot,,Hunter,,1,,,,,restaurant,fast food,0,critical,
5,pilot,,Dustin,,1,,,,,job,work,1,filler,
5,pilot,,Hakeem,,1,,,,,lost item,item,2,filler,
5,pilot,,Brad,,1,,,,,friend,names,3,filler,
5,pilot,,Tyree,,1,,,,,appointment,appointment,4,filler,
5,pilot,,Brett,,1,,,,,high school team,sports,5,critical,
5,pilot,,Cody,,1,,,,,food,fast food,6,critical,
5,pilot,,Paul,,1,,,,,movies,movie,7,filler,
5,pilot,,Logan,,1,,,,,genre,jazz,8,critical,
5,pilot,,Jamal,,1,,,,,sister,names,9,filler,
5,pilot,,Jermaine,,1,,,,,B&D,weapon,10,filler,
5,pilot,,Deshawn,,1,,,,,sleep,neighborhood,11,filler,
5,pilot,,Tremayne,,1,,,,,performing,jazz,12,critical,
5,pilot,,Connor,,1,,,,,gray car,poor,13,critical,
5,pilot,,Kareem,,1,,,,,fancy restaurant,poor,14,critical,
5,pilot,,Dylan,,1,,,,,alcohol,food,15,filler,
5,pilot,,Tyrone,,1,,,,,driving,driving,16,filler,
5,pilot,,Marquis,,1,,,,,fruit,watermelon,17,critical,
5,pilot,,Ethan,,1,,,,,lazy day,lazy,18,critical,
5,pilot,,Rasheed,,1,,,,,practice,sports,19,critical,
8,pilot,,,Mary,,"[0, 'Mary']",,1,bot_check,,,,,
8,pilot,,Jack,,1,,,,,alcohol,food,0,filler,
8,pilot,,Marquis,,1,,,,,fancy restaurant,poor,1,critical,
8,pilot,,Kareem,,1,,,,,high school team,sports,2,critical,
8,pilot,,Dustin,,1,,,,,driving,driving,3,filler,
8,pilot,,Jermaine,,1,,,,,lazy day,lazy,4,critical,
8,pilot,,Tyree,,1,,,,,sister,names,5,filler,
8,pilot,,Ethan,,1,,,,,appointment,appointment,6,filler,
8,pilot,,Deshawn,,1,,,,,lost item,item,7,filler,
8,pilot,,Deion,,1,,,,,friend,names,8,filler,
8,pilot,,Cody,,1,,,,,food,fast food,9,critical,
8,pilot,,Brad,,1,,,,,performing,jazz,10,critical,
8,pilot,,Ian,,1,,,,,B&D,weapon,11,filler,
8,pilot,,Roger,,1,,,,,genre,jazz,12,critical,
8,pilot,,Ryan,,1,,,,,practice,sports,13,critical,
8,pilot,,Brett,,1,,,,,restaurant,fast food,14,critical,
8,pilot,,Tremayne,,1,,,,,sleep,neighborhood,15,filler,
8,pilot,,Lamont,,1,,,,,job,work,16,filler,
8,pilot,,Trevon,,1,,,,,movies,movie,17,filler,
8,pilot,,Peter,,1,,,,,gray car,poor,18,critical,
8,pilot,,Deandre,,1,,,,,fruit,watermelon,19,critical,
