workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,catch_trials,condition,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
29,pilot,,Trevon,,1,office,51.288,,,job,work,10,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Connor,,1,chicken nuggets,11.616,,,food,fast food,11,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Peter,,1,Savannah,13.107,,,movies,movie,12,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Ian,,1,baseball,20.061,,,high school team,sports,13,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Brett,,1,pass,14.021,,,exclusion1,exclusion,14,exclusion,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Ethan,,1,alcohol,48.531,,,alcohol,food,15,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Paul,,1,piano,40.83,,,performing,jazz,16,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Hakeem,,1,rock,60.654,,,genre,jazz,17,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Jack,,1,T-ball,17.174,,,practice,sports,18,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Marquis,,1,pass,12.129,,,exclusion2,exclusion,19,exclusion,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
27,pilot,,,Margaret,,"[0, 'Margaret']",,1,bot_check,,,,,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Kareem,,1,jazz,13.944,,,genre,jazz,0,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Hunter,,1,soccer,13.765,,,high school team,sports,1,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Ethan,,1,Olive Garden,13.575,,,restaurant,fast food,2,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Dustin,,1,tacos,12.352,,,food,fast food,3,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Peter,,1,watch,5.283,,,lost item,item,4,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Hakeem,,1,Adam,11.587,,,friend,names,5,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Logan,,1,go hiking,9.46,,,lazy day,lazy,6,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Cody,,1,banjo,6.414,,,performing,jazz,7,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Lamont,,1,pass,5.806,,,exclusion1,exclusion,8,exclusion,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Tyrone,,1,ruckus ,9.571,,,sleep,neighborhood,9,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Tyree,,1,beer,7.061,,,alcohol,food,10,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Tremayne,,1,office,12.965,,,job,work,11,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Connor,,1,dentist,8.2,,,appointment,appointment,12,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Deandre,,1,Jeep,9.515,,,gray car,poor,13,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Marquis,,1,a doe,7.392,,,driving,driving,14,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Deion,,1,knife,7.858,,,B&D,weapon,15,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Jamal,,1,Josie,9.694,,,sister,names,16,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Jack,,1,hockey,303.058,,,practice,sports,17,critical,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Brad,,1,Black Panther,7.351,,,movies,movie,18,filler,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
27,pilot,,Paul,,1,pass,3.716,,,exclusion2,exclusion,19,exclusion,[],1,2,19,Yes,,2,2,1.5,Female,English,No,Asian,Chrome,Mac,900,1440,8.95865,
30,pilot,,,Patricia,,"[0, 'patricia']",,1,bot_check,,,,,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Trevon,,2,chess,8.145,,,game with friends,sports,0,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Lamont,,2,pass,8.311,,,exclusion2,exclusion,1,exclusion,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Ryan,,2,no way,12.125,,,friend,names,2,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Jermaine,,2,soccer,9.269,,,park,sports,3,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Cody,,2,convertible,10.419,,,blue car,poor,4,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Tremayne,,2,burger king,8.856,,,fancy restaurant,poor,5,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Dustin,,2,counter,26.923,,,B&D,weapon,6,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Hakeem,,2,superman,6.913,,,movies,movie,7,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Connor,,2,oops,15.74,,,sister,names,8,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Hunter,,2,piano,9.015,,,lesson,jazz,9,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Tyrone,,2,pass,4.963,,,exclusion1,exclusion,10,exclusion,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Deshawn,,2,jazz,15.738,,,radio,genre,11,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Brad,,2,a deer,16.999,,,driving,driving,12,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Jack,,2,noise,11.881,,,sleep,neighborhood,13,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Dylan,,2,apples,4.943,,,fruit,watermelon,14,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Lamar,,2,60,8.22,,,test,academic,15,critical,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Brett,,2,gas station,9.215,,,job,work,16,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Logan,,2,blanket,8.257,,,lost item,item,17,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Deandre,,2,dentist,6.563,,,appointment,appointment,18,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
30,pilot,,Rasheed,,2,capri sun,8.988,,,alcohol,food,19,filler,[],2,1,27,Yes,,3,1,1.5,Male,english,no,Asian,Chrome,Mac,900,1440,4.4912833333333335,
28,pilot,,,Susan,,"[0, 'Susan']",,1,bot_check,,,,,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Tremayne,,1,roles,32.092,,,performing,jazz,0,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Lamar,,1,knife,20.781,,,B&D,weapon,1,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Marquis,,1,Jacket,14.796,,,lost item,item,2,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Hakeem,,1,moose,14.334,,,driving,driving,3,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Ryan,,1,soccer,16.012,,,practice,sports,4,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Brad,,1,the diner,26.819,,,restaurant,fast food,5,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Connor,,1,Hey Cheryl,21.097,,,sister,names,6,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Tyree,,1,office,16.384,,,job,work,7,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Dylan,,1,The Revenge,38.047,,,movies,movie,8,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Deshawn,,1,pass,26.373,,,exclusion1,exclusion,9,exclusion,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Peter,,1,fail,16.096,,,exclusion2,exclusion,10,exclusion,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Deandre,,1,pasta,15.493,,,food,fast food,11,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Paul,,1,dentist,14.979,,,appointment,appointment,12,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Roger,,1,instrumentals,31.863,,,genre,jazz,13,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Jamal,,1,debate,23.677,,,high school team,sports,14,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Jermaine,,1,arguments,28.536,,,sleep,neighborhood,15,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Brett,,1,a couple of pints,12.836,,,alcohol,food,16,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Dustin,,1,oh wow,17.008,,,friend,names,17,filler,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Rasheed,,1,study,24.458,,,lazy day,lazy,18,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
28,pilot,,Ian,,1,mazda,12.564,,,gray car,poor,19,critical,[],1,3,28,Yes,,3,1,0.25,Male,Russian,None,White,Chrome,Windows,1080,1920,9.034716666666666,
26,pilot,,,Sarah,,"[0, 'Sarah']",,1,bot_check,,,,,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Lamont,,2,soccer,25.029,,,park,sports,0,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Tremayne,,2,cello,16.627,,,lesson,jazz,1,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Deandre,,2,Anastasia,27.705,,,sister,names,2,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Deshawn,,2,pass,15.168,,,exclusion1,exclusion,3,exclusion,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Ian,,2,Risk,18.123,,,game with friends,sports,4,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Jamal,,2,marathon,20.629,,,job,work,5,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Hunter,,2,loud arguing,14.845,,,sleep,neighborhood,6,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Brett,,2,watermelon,11.55,,,fruit,watermelon,7,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Marquis,,2,forty-three,25.998,,,test,academic,8,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Dylan,,2,a fox,16.836,,,driving,driving,9,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Deion,,2,alternative rock,30.933,,,radio,genre,10,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Logan,,2,knife,16.015,,,B&D,weapon,11,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Ryan,,2,pass,9.393,,,exclusion2,exclusion,12,exclusion,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Kareem,,2,dentist,7.425,,,appointment,appointment,13,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Dustin,,2,the local Italian restaurant ,28.217,,,fancy restaurant,poor,14,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Tyrone,,2,Alex,14.388,,,friend,names,15,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Lamar,,2,pocketwatch,15.363,,,lost item,item,16,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Connor,,2,Deadpool,19.398,,,movies,movie,17,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Cody,,2,Hyundai Accent,21.659,,,blue car,poor,18,critical,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
26,pilot,,Roger,,2,boba tea,25.028,,,alcohol,food,19,filler,[],2,2,19,Yes,,2,2,$1.75,Female,English,Nope!,White,Chrome,Windows,864,1536,7.89865,
